action_count,dataset,full_evidence_delta,harmful_expansions,outcome,query_id,question_type,slice,support_count,support_recall_delta
1.0,2wiki,0.0,1.0,tie,00fc38720bb011ebab90acde48001122,inference,anchor_failure,2,0.0
2.0,2wiki,1.0,1.0,win,0179c3f20bdb11eba7f7acde48001122,compositional,rescuable,2,0.5
2.0,2wiki,0.0,2.0,tie,01b786e2086611ebbd5eac1f6bf848b6,bridge_comparison,rescuable,4,0.0
2.0,2wiki,0.0,2.0,tie,02428f7e0bb011ebab90acde48001122,inference,rescuable,2,0.0
2.0,2wiki,0.0,2.0,tie,0254eea408b911ebbd88ac1f6bf848b6,comparison,already_solved,2,0.0
1.0,2wiki,0.0,1.0,tie,02912df60baf11ebab90acde48001122,inference,unreachable,2,0.0
2.0,2wiki,0.0,2.0,tie,02a9ff56094411ebbdaeac1f6bf848b6,comparison,already_solved,2,0.0
2.0,2wiki,0.0,2.0,tie,02acaafe084e11ebbd56ac1f6bf848b6,comparison,already_solved,2,0.0
2.0,2wiki,0.0,2.0,tie,02b62fce087211ebbd64ac1f6bf848b6,bridge_comparison,unreachable,4,0.0
2.0,2wiki,0.0,2.0,tie,038ea0fc0bb011ebab90acde48001122,inference,already_solved,2,0.0
1.0,2wiki,0.0,1.0,tie,038fb14a0bb011ebab90acde48001122,inference,already_solved,2,0.0
2.0,2wiki,1.0,1.0,win,039ffd260bdc11eba7f7acde48001122,compositional,rescuable,2,0.5
2.0,2wiki,0.0,1.0,win,03e971d208d911ebbd9cac1f6bf848b6,bridge_comparison,rescuable,4,0.25
2.0,2wiki,1.0,1.0,win,03f16b880bb011ebab90acde48001122,inference,rescuable,2,0.5
2.0,2wiki,0.0,1.0,tie,04734cac08e011ebbda1ac1f6bf848b6,bridge_comparison,rescuable,4,0.0
2.0,2wiki,0.0,2.0,tie,04fc9d9908ab11ebbd81ac1f6bf848b6,comparison,already_solved,2,0.0
2.0,2wiki,0.0,1.0,tie,051f62de0bde11eba7f7acde48001122,compositional,already_solved,2,0.0
1.0,2wiki,0.0,1.0,tie,057366eb087311ebbd66ac1f6bf848b6,comparison,already_solved,2,0.0
2.0,2wiki,0.0,2.0,tie,0628229b08de11ebbd9eac1f6bf848b6,bridge_comparison,rescuable,4,0.0
0.0,2wiki,0.0,0.0,tie,06af462b08f011ebbda8ac1f6bf848b6,comparison,already_solved,2,0.0
2.0,2wiki,0.0,2.0,loss,06c1bf16087211ebbd64ac1f6bf848b6,bridge_comparison,rescuable,4,-0.25
2.0,2wiki,1.0,1.0,win,07388c7c0bb011ebab90acde48001122,inference,rescuable,2,0.5
2.0,2wiki,0.0,1.0,tie,073a6f560bb011ebab90acde48001122,inference,already_solved,2,0.0
2.0,2wiki,1.0,1.0,win,076245340bde11eba7f7acde48001122,compositional,rescuable,2,0.5
2.0,2wiki,0.0,1.0,tie,07626317086e11ebbd62ac1f6bf848b6,bridge_comparison,rescuable,4,0.0
2.0,2wiki,0.0,2.0,tie,076f8ece08d211ebbd95ac1f6bf848b6,bridge_comparison,rescuable,4,0.0
2.0,2wiki,0.0,2.0,tie,077b294e0bdb11eba7f7acde48001122,compositional,already_solved,2,0.0
1.0,2wiki,0.0,1.0,tie,078c06a00baf11ebab90acde48001122,inference,rescuable,2,0.0
2.0,2wiki,0.0,2.0,tie,07b1cc3c0baf11ebab90acde48001122,inference,rescuable,2,0.0
0.0,2wiki,0.0,0.0,tie,0864c8b40baf11ebab90acde48001122,inference,already_solved,2,0.0
2.0,2wiki,1.0,1.0,win,08a0a8ee0bdb11eba7f7acde48001122,compositional,rescuable,2,0.5
0.0,2wiki,0.0,0.0,tie,08cfd9c4090111ebbdadac1f6bf848b6,comparison,already_solved,2,0.0
1.0,2wiki,0.0,1.0,tie,08ec5ef708c511ebbd8eac1f6bf848b6,comparison,already_solved,2,0.0
2.0,2wiki,1.0,1.0,win,09a4dc640baf11ebab90acde48001122,inference,rescuable,2,0.5
2.0,2wiki,0.0,2.0,tie,09b8a2ac0bb011ebab90acde48001122,inference,rescuable,2,0.0
2.0,2wiki,0.0,2.0,tie,0b1244de0bdb11eba7f7acde48001122,compositional,rescuable,2,0.0
2.0,2wiki,0.0,2.0,tie,0b91d3200bdb11eba7f7acde48001122,compositional,rescuable,2,0.0
2.0,2wiki,0.0,1.0,win,0ba11cfd084a11ebbd55ac1f6bf848b6,bridge_comparison,rescuable,4,0.25
1.0,2wiki,0.0,0.0,tie,0bad718c0bb011ebab90acde48001122,inference,already_solved,2,0.0
2.0,2wiki,-1.0,2.0,loss,0c0830a00baf11ebab90acde48001122,inference,already_solved,2,-0.5
0.0,2wiki,0.0,0.0,tie,0c4ac7f20bb011ebab90acde48001122,inference,already_solved,2,0.0
2.0,2wiki,1.0,1.0,win,0c97f4720bde11eba7f7acde48001122,compositional,rescuable,2,0.5
2.0,2wiki,0.0,2.0,tie,0ca286d60bdd11eba7f7acde48001122,compositional,rescuable,2,0.0
2.0,2wiki,0.0,2.0,tie,0cd1b9840bdc11eba7f7acde48001122,compositional,rescuable,2,0.0
1.0,2wiki,0.0,1.0,tie,0d346a7c0bda11eba7f7acde48001122,compositional,already_solved,2,0.0
2.0,2wiki,0.0,1.0,win,0d97858808c111ebbd8aac1f6bf848b6,bridge_comparison,rescuable,4,0.25
2.0,2wiki,0.0,1.0,win,0dc9691b087911ebbd67ac1f6bf848b6,bridge_comparison,rescuable,4,0.25
0.0,2wiki,0.0,0.0,tie,0dee63d2087e11ebbd6bac1f6bf848b6,comparison,already_solved,2,0.0
2.0,2wiki,0.0,2.0,tie,0e5e54c908c211ebbd8bac1f6bf848b6,comparison,already_solved,2,0.0
2.0,2wiki,0.0,1.0,tie,0e6d9f8c0bb011ebab90acde48001122,inference,already_solved,2,0.0
0.0,2wiki,0.0,0.0,tie,0e6f502b08ec11ebbda7ac1f6bf848b6,comparison,already_solved,2,0.0
1.0,2wiki,1.0,0.0,win,0e7078b00bb011ebab90acde48001122,inference,rescuable,2,0.5
2.0,2wiki,0.0,2.0,tie,0f16160c0bde11eba7f7acde48001122,compositional,rescuable,2,0.0
2.0,2wiki,1.0,1.0,win,1011a79c0bde11eba7f7acde48001122,compositional,rescuable,2,0.5
2.0,2wiki,0.0,2.0,tie,109f949808bf11ebbd8aac1f6bf848b6,bridge_comparison,rescuable,4,0.0
2.0,2wiki,0.0,2.0,tie,10e63c10087211ebbd64ac1f6bf848b6,bridge_comparison,rescuable,4,0.0
2.0,2wiki,0.0,1.0,win,10f2235a085d11ebbd5cac1f6bf848b6,bridge_comparison,rescuable,4,0.25
2.0,2wiki,0.0,2.0,tie,11007dea0bde11eba7f7acde48001122,compositional,rescuable,2,0.0
0.0,2wiki,0.0,0.0,tie,117ae2bc089b11ebbd78ac1f6bf848b6,comparison,already_solved,2,0.0
2.0,2wiki,0.0,1.0,tie,11963eee0bb011ebab90acde48001122,inference,already_solved,2,0.0
1.0,2wiki,1.0,0.0,win,11b996700bdb11eba7f7acde48001122,compositional,rescuable,2,0.5
2.0,2wiki,0.0,1.0,win,122324e8089111ebbd72ac1f6bf848b6,bridge_comparison,rescuable,4,0.25
2.0,2wiki,0.0,2.0,tie,128bc56408b611ebbd88ac1f6bf848b6,bridge_comparison,rescuable,4,0.0
1.0,2wiki,0.0,1.0,tie,12afb387087d11ebbd6aac1f6bf848b6,comparison,already_solved,2,0.0
0.0,2wiki,0.0,0.0,tie,135157a8090011ebbdadac1f6bf848b6,comparison,already_solved,2,0.0
